name,datetime,tempmax,tempmin,humidity,windspeed,visibility,description
BRONX,2016-07-09,29.3,21.9,71.9,22,15.4,Partly cloudy throughout the day with early mornin
BRONX,2016-08-09,31,22.2,71,19.2,14.8,Partly cloudy throughout the day.
BRONX,2016-09-09,32.8,25.9,58.6,15.1,15.3,Partly cloudy throughout the day with late afterno
BRONX,2016-10-09,32.2,24.5,76.3,20.1,13.6,Partly cloudy throughout the day with early mornin
BRONX,2016-11-09,28.2,21.8,56,26.1,15.2,Partly cloudy throughout the day.
BRONX,2016-12-09,24.9,16.9,52.5,16.6,16,Clear conditions throughout the day.
BRONX,13-09-2016,27.1,18.6,62.5,23.8,15.9,Clear conditions throughout the day.
BRONX,14-09-2016,32.8,21.3,59.6,19.8,15,Partly cloudy throughout the day with late afterno
BRONX,15-09-2016,22.9,16.7,49.9,21.2,16,Partly cloudy throughout the day.
BRONX,16-09-2016,22.6,17,60.7,15.9,16,Partly cloudy throughout the day.
BRONX,17-09-2016,24.6,16.2,67.7,19.4,15.9,Clearing in the afternoon.
BRONX,18-09-2016,28.4,21.5,75.3,18.4,15.2,Partly cloudy throughout the day.
BRONX,19-09-2016,24.7,21.8,86.7,17.4,12.9,Partly cloudy throughout the day with rain in the 
BRONX,20-09-2016,27.9,20.9,77,12.4,15.1,Partly cloudy throughout the day.
BRONX,21-09-2016,28.9,21.7,55.6,14,15.7,Partly cloudy throughout the day.
BRONX,22-09-2016,29.2,19.6,45.2,14.1,16,Partly cloudy throughout the day.
BRONX,23-09-2016,30.7,18.6,53.6,12.8,15.7,Partly cloudy throughout the day.
BRONX,24-09-2016,22.9,14.8,61.7,18.7,14.9,Partly cloudy throughout the day with rain clearin
BRONX,25-09-2016,20.7,13.1,43.5,18.3,16,Clear conditions throughout the day.
BRONX,26-09-2016,22,13.1,53,19.7,15.9,Becoming cloudy in the afternoon.
BRONX,27-09-2016,23.7,18.6,72.3,21,14.4,Partly cloudy throughout the day with rain clearin
BRONX,28-09-2016,20.5,15,78.1,28.1,14.2,Partly cloudy throughout the day.
BRONX,29-09-2016,18.4,14.8,72.8,31.9,15.4,Cloudy skies throughout the day.
BRONX,30-09-2016,16.1,14.2,81.9,34.4,9.6,Cloudy skies throughout the day with a chance of r
BRONX,2016-01-10,17.1,13.8,85.3,22.7,14.3,Cloudy skies throughout the day.
BRONX,2016-02-10,17.6,14,85.3,17.8,13.5,Cloudy skies throughout the day.
BRONX,2016-03-10,21.9,16.4,74.4,11.8,13.4,Partly cloudy throughout the day.
BRONX,2016-04-10,20.7,16.2,69.5,22.8,15.7,Partly cloudy throughout the day with morning rain
BRONX,2016-05-10,19.3,12.4,65.1,19,15.9,Partly cloudy throughout the day.
BRONX,2016-06-10,23,13.7,69.8,12.9,14.7,Clear conditions throughout the day.
BRONX,2016-07-10,23.2,14.3,70.2,14,13.6,Clear conditions throughout the day.
BRONX,2016-08-10,20.1,14.8,85.8,10.6,13.5,Partly cloudy throughout the day with rain.
BRONX,2016-09-10,19.2,11.5,74.9,26.7,13.1,Partly cloudy throughout the day with a chance of 
BRONX,2016-10-10,17.5,9.1,45.3,22.2,16,Clear conditions throughout the day.
BRONX,2016-11-10,17.3,8.8,57.5,12.8,16,Clear conditions throughout the day.
BRONX,2016-12-10,18.8,12.3,70.8,13.6,15.8,Partly cloudy throughout the day.
BRONX,13-10-2016,20,13.5,76.9,28.8,14.6,Becoming cloudy in the afternoon.
BRONX,14-10-2016,17.2,9.1,51,17.8,16,Clear conditions throughout the day.
BRONX,15-10-2016,18.3,8.7,58.8,16.7,16,Clear conditions throughout the day.
